Adversary,Technique,Technique ID,SubTechnique,Data Source,API_ID
APT29,Email Accounts,T1586.002,Compromise Accounts,Persona: Social Media,attack-pattern--81033c3b-16a4-46e4-8fed-9b030dd03c4a
APT29,Email Accounts,T1586.002,Compromise Accounts,Network Traffic: Network Traffic Content,attack-pattern--81033c3b-16a4-46e4-8fed-9b030dd03c4a
APT29,Bypass User Account Control,T1548.002,Abuse Elevation Control Mechanism,Process: Process Creation,attack-pattern--67720091-eee3-4d2d-ae16-8264567f6f5b
APT29,Bypass User Account Control,T1548.002,Abuse Elevation Control Mechanism,File: File Metadata,attack-pattern--67720091-eee3-4d2d-ae16-8264567f6f5b
APT29,Bypass User Account Control,T1548.002,Abuse Elevation Control Mechanism,Process: OS API Execution,attack-pattern--67720091-eee3-4d2d-ae16-8264567f6f5b
APT29,Bypass User Account Control,T1548.002,Abuse Elevation Control Mechanism,File: File Modification,attack-pattern--67720091-eee3-4d2d-ae16-8264567f6f5b
APT29,Bypass User Account Control,T1548.002,Abuse Elevation Control Mechanism,Windows Registry: Windows Registry Key Modification,attack-pattern--67720091-eee3-4d2d-ae16-8264567f6f5b
APT29,Bypass User Account Control,T1548.002,Abuse Elevation Control Mechanism,Process: Process Metadata,attack-pattern--67720091-eee3-4d2d-ae16-8264567f6f5b
APT29,Bypass User Account Control,T1548.002,Abuse Elevation Control Mechanism,Command: Command Execution,attack-pattern--67720091-eee3-4d2d-ae16-8264567f6f5b
APT29,Device Registration,T1098.005,Account Manipulation,Active Directory: Active Directory Object Modification,attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27
APT29,Device Registration,T1098.005,Account Manipulation,File: File Modification,attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27
APT29,Device Registration,T1098.005,Account Manipulation,Group: Group Modification,attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27
APT29,Device Registration,T1098.005,Account Manipulation,User Account: User Account Modification,attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27
APT29,Device Registration,T1098.005,Account Manipulation,Command: Command Execution,attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27
APT29,Device Registration,T1098.005,Account Manipulation,Process: Process Creation,attack-pattern--a10641f4-87b4-45a3-a906-92a149cb2c27
APT29,Spearphishing via Service,T1566.003,Phishing,Application Log: Application Log Content,attack-pattern--a62a8db3-f23a-4d8f-afd6-9dbc77e7813b
APT29,Spearphishing via Service,T1566.003,Phishing,File: File Creation,attack-pattern--a62a8db3-f23a-4d8f-afd6-9dbc77e7813b
APT29,Spearphishing via Service,T1566.003,Phishing,Network Traffic: Network Traffic Content,attack-pattern--a62a8db3-f23a-4d8f-afd6-9dbc77e7813b
APT29,Spearphishing via Service,T1566.003,Phishing,Network Traffic: Network Traffic Flow,attack-pattern--a62a8db3-f23a-4d8f-afd6-9dbc77e7813b
APT29,Malicious Link,T1204.001,User Execution,Network Traffic: Network Connection Creation,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
APT29,Malicious Link,T1204.001,User Execution,Container: Container Start,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
APT29,Malicious Link,T1204.001,User Execution,File: File Creation,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
APT29,Malicious Link,T1204.001,User Execution,Command: Command Execution,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
APT29,Malicious Link,T1204.001,User Execution,Network Traffic: Network Traffic Content,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
APT29,Malicious Link,T1204.001,User Execution,Process: Process Creation,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
APT29,Malicious Link,T1204.001,User Execution,Instance: Instance Start,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
APT29,Malicious Link,T1204.001,User Execution,Instance: Instance Creation,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
APT29,Malicious Link,T1204.001,User Execution,Application Log: Application Log Content,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
APT29,Malicious Link,T1204.001,User Execution,Container: Container Creation,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
APT29,Malicious Link,T1204.001,User Execution,Image: Image Creation,attack-pattern--8c32eb4d-805f-4fc5-bf60-c4d476c131b5
APT29,Valid Accounts,T1078,Default Accounts,User Account: User Account Authentication,attack-pattern--6151cbea-819b-455a-9fa6-99a1cc58797d
APT29,Valid Accounts,T1078,Default Accounts,Logon Session: Logon Session Creation,attack-pattern--6151cbea-819b-455a-9fa6-99a1cc58797d
APT29,Valid Accounts,T1078,Domain Accounts,User Account: User Account Authentication,attack-pattern--c3d4bdd9-2cfe-4a80-9d0c-07a29ecdce8f
APT29,Valid Accounts,T1078,Domain Accounts,Logon Session: Logon Session Creation,attack-pattern--c3d4bdd9-2cfe-4a80-9d0c-07a29ecdce8f
APT29,Valid Accounts,T1078,Domain Accounts,Logon Session: Logon Session Metadata,attack-pattern--c3d4bdd9-2cfe-4a80-9d0c-07a29ecdce8f
APT29,Valid Accounts,T1078,Cloud Accounts,Logon Session: Logon Session Metadata,attack-pattern--f232fa7a-025c-4d43-abc7-318e81a73d65
APT29,Valid Accounts,T1078,Cloud Accounts,Logon Session: Logon Session Creation,attack-pattern--f232fa7a-025c-4d43-abc7-318e81a73d65
APT29,Valid Accounts,T1078,Cloud Accounts,User Account: User Account Authentication,attack-pattern--f232fa7a-025c-4d43-abc7-318e81a73d65
APT29,Valid Accounts,T1078,Local Accounts,Logon Session: Logon Session Metadata,attack-pattern--fdc47f44-dd32-4b99-af5f-209f556f63c2
APT29,Valid Accounts,T1078,Local Accounts,User Account: User Account Authentication,attack-pattern--fdc47f44-dd32-4b99-af5f-209f556f63c2
APT29,Valid Accounts,T1078,Local Accounts,Logon Session: Logon Session Creation,attack-pattern--fdc47f44-dd32-4b99-af5f-209f556f63c2
APT29,File Deletion,T1070.004,Indicator Removal,User Account: User Account Authentication,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
APT29,File Deletion,T1070.004,Indicator Removal,File: File Modification,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
APT29,File Deletion,T1070.004,Indicator Removal,Windows Registry: Windows Registry Key Modification,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
APT29,File Deletion,T1070.004,Indicator Removal,User Account: User Account Deletion,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
APT29,File Deletion,T1070.004,Indicator Removal,Process: OS API Execution,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
APT29,File Deletion,T1070.004,Indicator Removal,Windows Registry: Windows Registry Key Deletion,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
APT29,File Deletion,T1070.004,Indicator Removal,Scheduled Job: Scheduled Job Modification,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
APT29,File Deletion,T1070.004,Indicator Removal,Application Log: Application Log Content,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
APT29,File Deletion,T1070.004,Indicator Removal,Network Traffic: Network Traffic Content,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
APT29,File Deletion,T1070.004,Indicator Removal,Process: Process Creation,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
APT29,File Deletion,T1070.004,Indicator Removal,File: File Deletion,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
APT29,File Deletion,T1070.004,Indicator Removal,Firewall: Firewall Rule Modification,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
APT29,File Deletion,T1070.004,Indicator Removal,File: File Metadata,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
APT29,File Deletion,T1070.004,Indicator Removal,Command: Command Execution,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
APT29,Password Guessing,T1110.001,Brute Force,Command: Command Execution,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd
APT29,Password Guessing,T1110.001,Brute Force,Application Log: Application Log Content,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd
APT29,Password Guessing,T1110.001,Brute Force,User Account: User Account Authentication,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd
APT29,Binary Padding,T1027.001,Obfuscated Files or Information,Process: Process Creation,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,Binary Padding,T1027.001,Obfuscated Files or Information,Command: Command Execution,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,Binary Padding,T1027.001,Obfuscated Files or Information,Script: Script Execution,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,Binary Padding,T1027.001,Obfuscated Files or Information,Windows Registry: Windows Registry Key Creation,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,Binary Padding,T1027.001,Obfuscated Files or Information,Module: Module Load,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,Binary Padding,T1027.001,Obfuscated Files or Information,WMI: WMI Creation,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,Binary Padding,T1027.001,Obfuscated Files or Information,File: File Metadata,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,Binary Padding,T1027.001,Obfuscated Files or Information,Process: OS API Execution,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,Binary Padding,T1027.001,Obfuscated Files or Information,File: File Creation,attack-pattern--b3d682b6-98f2-4fb0-aa3b-b4df007ca70a
APT29,Mark-of-the-Web Bypass,T1553.005,Subvert Trust Controls,Process: Process Creation,attack-pattern--b83e166d-13d7-4b52-8677-dff90c548fd7
APT29,Mark-of-the-Web Bypass,T1553.005,Subvert Trust Controls,Windows Registry: Windows Registry Key Creation,attack-pattern--b83e166d-13d7-4b52-8677-dff90c548fd7
APT29,Mark-of-the-Web Bypass,T1553.005,Subvert Trust Controls,Module: Module Load,attack-pattern--b83e166d-13d7-4b52-8677-dff90c548fd7
